idx	X	Y	component
160	7053.52735158828	44354.22090446403	0
161	7190.695785827105	44407.56318342273	0
162	7190.691895647367	44407.56533314008	0
163	7192.629526431469	44408.3791060275	0
164	7190.695844880858	44407.56317221033	0
165	7192.631077830061	44408.37441765726	0
166	7192.629692822076	44408.37909237452	0
167	7196.62153628646	44409.33906476853	0
168	7196.61567340004	44409.32183926229	0
169	7197.349364671791	44410.0749561966	0
170	7196.621596998368	44409.33916148158	0
171	7197.350981591801	44410.07301259747	0
172	7197.348885609281	44410.07460280669	0
173	7537.112146183936	44418.50334609598	0
174	7537.123679355289	44418.501469819	0
175	7537.841924415996	44419.1554437505	0
176	7537.11218180682	44418.50343532133	0
177	7537.847758476899	44419.1547606571	0
178	7537.848307369808	44419.15470586474	0
179	7556.318933721923	44421.03687656672	0
180	7556.320875378413	44421.03708612948	0
181	7556.931293326728	44421.85025789519	0
182	7556.317381053195	44421.03189108656	0
183	7556.907849310053	44421.85392808966	0
184	7556.931657510984	44421.85027709042	0
185	7740.776270495	44461.6299381231	0
186	7740.776856589677	44461.63008353343	0
187	7741.98315616027	44461.09474604989	0
188	7740.881328168354	44461.57213178972	0
189	7741.974119242353	44461.09794732818	0
190	7741.974243798853	44461.09794748801	0
191	7784.147693879349	44463.06692932655	0
192	7784.146899338746	44463.06916818838	0
193	7785.16064561472	44463.16883322063	0
194	7784.147835824144	44463.06683382893	0
195	7785.161940057013	44463.16841173269	0
196	7785.161681910547	44463.16863595284	0
197	7790.044341349982	44461.56481413044	0
198	7790.043458087981	44461.5605684444	0
199	7790.965965395553	44461.36168852443	0
200	7790.044459262004	44461.5647586675	0
201	7790.994988544706	44461.38826125475	0
202	7790.996248025156	44461.38794865376	0
203	7812.756805896315	44455.72301060582	0
204	7812.740080016192	44455.72893750719	0
205	7814.591784053802	44454.7893358155	0
206	7812.757665185105	44455.72315250557	0
207	7814.597595219864	44454.80633622212	0
208	7814.597945651818	44454.80634718193	0
209	7815.619363727317	44454.70884666025	0
210	7815.603127999391	44454.69699662038	0
211	7816.695658751421	44454.69512614635	0
212	7815.620714821227	44454.70880056106	0
213	7816.697506853852	44454.69873587475	0
214	7816.696020565316	44454.69514850274	0
215	7822.868037741122	44455.60351250823	0
216	7822.865390207146	44455.59984815012	0
217	7823.910380070272	44455.68552631915	0
218	7822.867459597022	44455.60342499927	0
219	7823.930667346933	44455.70255691433	0
220	7823.930994024886	44455.70280067062	0
221	7824.934703692015	44455.91889415656	0
222	7824.935261647057	44455.91899254294	0
223	7825.85553566512	44456.43443296917	0
224	7824.930975124029	44455.9217211046	0
225	7825.841342743661	44456.43371187637	0
226	7825.841049419738	44456.43360429446	0
227	8684.365757730331	44734.71026693935	0
228	8684.365234263998	44734.71026845348	0
229	8685.131432164264	44734.1198975927	0
230	8684.365894436414	44734.71031588939	0
231	8685.163752265049	44734.13670526221	0
232	8685.163765929006	44734.13662363579	0
233	8922.729322884326	44831.70503789975	0
234	8922.729487398705	44831.70510546649	0
235	8923.479036421413	44831.83300496131	0
236	8922.714117028168	44831.6824050837	0
237	8923.485783695913	44831.84285215034	0
238	8923.489421974169	44831.84372135731	0
239	9170.567967964846	44926.1603788338	0
240	9170.536606701491	44926.27428344073	0
241	9171.356852007339	44926.43020792116	0
242	9170.573275370152	44926.16293280281	0
