idx	X	Y	component
0	1000	37914.00874388775	0
1	1055.257583543735	37923.52552207155	0
2	1055.257853529361	37923.52552181192	0
3	1056.093453824415	37925.34659924963	0
4	1055.257465372164	37923.52545791837	0
5	1056.0926078628	37925.34653415454	0
6	1056.093590601737	37925.34666773282	0
7	1157.662060829665	38019.75856952251	0
8	1157.662343007854	38019.76036927515	0
9	1157.476608384059	38020.73228074276	0
10	1157.661370541366	38019.75852272924	0
11	1157.477361762278	38020.73270964699	0
12	1157.47738714252	38020.73271541492	0
13	2006.385442052477	38345.4066288481	0
14	2006.050312636733	38345.49761826786	0
15	2006.303999174339	38346.38734640706	0
16	2006.385444847947	38345.40682036382	0
17	2006.304879151903	38346.38818944675	0
18	2006.305322650023	38346.38738491116	0
19	2071.985073652657	38374.94534973911	0
20	2071.984480990188	38374.94509418838	0
21	2072.952306737454	38375.30434401028	0
22	2071.98222786561	38374.9455765268	0
23	2072.952960344905	38375.30586984029	0
24	2072.953513434928	38375.30581733445	0
25	2614.453215742171	38352.16659300336	0
26	2614.452573178212	38352.16613810561	0
27	2615.476405288457	38352.07821216503	0
28	2614.454610400513	38352.16669129636	0
29	2615.476925545248	38352.07858176027	0
30	2615.476498875407	38352.07864095434	0
31	2622.525463058297	38353.0932619711	0
32	2622.525374748733	38353.09318896118	0
33	2623.554805005839	38353.08789808764	0
34	2622.542419933292	38353.04748729998	0
35	2623.553419232612	38353.08584429126	0
36	2623.554952253115	38353.08792812542	0
37	4710.495046955661	38983.64316841334	0
38	4710.354900934482	38983.61534622508	0
39	4710.583029447323	38983.66044887551	0
40	4710.586701308421	38983.66111084831	0
41	5187.488148551744	39338.80783404548	0
42	5187.489093923192	39338.81171078789	0
43	5187.632961129202	39339.16697763601	0
44	5187.490087308841	39338.81053456647	0
45	5187.805808952617	39339.19105273063	0
46	5187.805944741325	39339.19111841862	0
47	5755.374169255265	39703.70822247596	0
48	5755.37512730954	39703.70756129276	0
49	5755.911412049139	39704.55127714601	0
50	5755.373972789861	39703.70818876453	0
51	5755.908400774217	39704.5529908255	0
52	5755.911421766868	39704.55127892641	0
53	5866.21934528472	39767.71892374769	0
54	5866.230423577032	39767.70337149143	0
55	5976.549841785072	39816.55921656202	0
56	5866.21863655014	39767.71871934485	0
57	5976.533621834456	39816.55478844728	0
58	5976.53377914922	39816.555146206	0
59	5989.251030207713	39825.42291379118	0
60	5989.249014343059	39825.42204563675	0
61	5989.58111438257	39826.40920961153	0
62	5989.251426716153	39825.42288118063	0
63	5989.590530424408	39826.40574027611	0
64	5989.590679071895	39826.40618576491	0
65	6102.831492910253	39892.080685933	0
66	6102.831617416407	39892.0807590041	0
67	6103.683568119526	39892.6146554592	0
68	6102.839348356138	39892.07350366634	0
69	6103.695266575403	39892.60888902878	0
70	6103.695451324584	39892.60894071995	0
71	6188.967856803574	39916.35504193266	0
72	6188.968579231281	39916.3559957044	0
73	6189.941884685344	39916.59512475155	0
74	6188.968589940727	39916.35525640559	0
75	6189.938075824317	39916.59548542806	0
76	6189.938756253712	39916.59561849487	0
77	6191.831150421083	39917.36549871587	0
78	6191.829304777548	39917.36550047995	0
79	6192.867506904269	39917.45601849664	0
80	6191.830755118612	39917.36540104363	0
81	6192.869358294942	39917.45636627224	0
82	6192.867812188262	39917.45612208413	0
83	6207.06633394571	39920.30385495767	0
84	6207.070321702606	39920.3019670921	0
85	6207.950146851781	39920.7836246169	0
86	6207.065333846804	39920.30368829399	0
87	6207.949016823997	39920.78410081541	0
88	6207.95071440062	39920.78375870387	0
89	6274.759057532559	39949.22704764392	0
90	6274.759649189891	39949.22729580035	0
91	6275.591782204934	39949.77619899849	0
92	6274.901814690136	39949.12919167137	0
93	6275.75646514355	39949.59970977889	0
94	6275.756653822187	39949.59978665238	0
95	6277.254032885088	39950.98806660174	0
96	6277.245541642667	39950.99286636707	0
97	6278.09154563164	39951.55301676995	0
98	6277.254032885001	39950.98806660074	0
99	6278.10561938247	39951.55192121618	0
100	6278.105619381524	39951.55192121586	0
101	6939.622670050398	40103.47574383362	0
102	6939.615019042398	40103.4724249382	0
103	6939.411604300167	40102.6636972957	0
104	6939.622846081525	40103.47579981892	0
105	6939.414406272357	40102.65921018495	0
106	6939.412230077731	40102.66380703886	0
107	6984.834864396445	40110.82571235025	0
108	6984.830921192224	40110.82274712602	0
109	6985.731190062957	40111.12058089545	0
110	6984.834653322843	40110.82568580641	0
111	6985.814197700493	40111.12136323846	0
112	6985.814383418954	40111.12129386508	0
113	6990.892296868289	40112.03720228686	0
114	6990.892208446738	40112.03857525909	0
115	6991.857144556419	40112.30672760694	0
116	6990.892425366688	40112.0372271037	0
117	6991.866501421195	40112.29932718711	0
118	6991.866429573187	40112.29933677175	0
119	6997.065396626	40112.10255741767	0
120	6997.06458446907	40112.1030368479	0
121	6998.102498317588	40111.92061401221	0
122	6997.038651609968	40112.09481623302	0
123	6998.137223034159	40111.88816251667	0
124	6998.102204284354	40111.92067280041	0
125	7000.139032837673	40112.38821289439	0
126	7000.139310107799	40112.38824647175	0
127	7001.126730757285	40112.70294033785	0
128	7000.140671843597	40112.38175007165	0
129	7001.123077557353	40112.70457785835	0
